spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
6C7aTTCUWRK7dD379yUT3W,12/8/2024 18:48,android,2277,Roll Over Beethoven,Chuck Berry,Berry Is On Top,fwdbtn,fwdbtn,TRUE,TRUE
7HUj2KB6hQCZgTPHFGAJ0c,12/8/2024 18:48,android,2996,All Around the World - Remastered,Oasis,Be Here Now,fwdbtn,fwdbtn,TRUE,TRUE
4ODWgs1CVAZKDbryEodjiz,12/8/2024 18:52,android,119188,Theme From New York- New York,Frank Sinatra,Ultimate Sinatra,fwdbtn,logout,TRUE,FALSE
4ODWgs1CVAZKDbryEodjiz,12/9/2024 20:28,android,85924,Theme From New York- New York,Frank Sinatra,Ultimate Sinatra,appload,trackdone,TRUE,FALSE
4hsniLwwHj9xBoRfUyCCiY,12/9/2024 20:32,android,206733,Fantasising,Skegss,Wake Up,trackdone,trackdone,TRUE,FALSE
1mItgKNZhABGsy7hRHHkIR,12/9/2024 21:52,android,249813,Be Calm,fun.,Aim and Ignite,trackdone,trackdone,TRUE,FALSE
6BIRIBJuEGLds1oAxvybLO,12/9/2024 21:55,android,134839,Fallaste Corazon,Pedro Infante,Mexico Gran Coleccion Ranchera: Pedro Infante,trackdone,endplay,TRUE,TRUE
6BIRIBJuEGLds1oAxvybLO,12/9/2024 21:57,android,91504,Fallaste Corazon,Pedro Infante,Mexico Gran Coleccion Ranchera: Pedro Infante,remote,trackdone,TRUE,FALSE
5ku8BU0vAABtKDenpT3DbG,12/9/2024 21:57,android,11046,When The Night Comes,Dan Auerbach,Keep It Hid,trackdone,fwdbtn,TRUE,TRUE
3285RNj9TGVvWlP8tYojDH,12/10/2024 1:29,android,57930,Here With Me,The Killers,Battle Born,fwdbtn,fwdbtn,TRUE,TRUE
1lBKQqbkfM3LThaJYqygjy,12/10/2024 1:29,android,1679,Giordano: Fedora: Amor ti vieta,Umberto Giordano,Pavarotti Forever,fwdbtn,fwdbtn,TRUE,TRUE
239yM7BAQ2CkNc61ogPGXo,12/10/2024 1:34,android,249080,Shot in the Dark,John Mayer,Sob Rock,fwdbtn,trackdone,TRUE,FALSE
4Hh6Q9GhhE8DeON2iUtYMT,12/10/2024 1:37,android,185333,Cool It Down - 2015 Remaster,The Velvet Underground,Loaded,trackdone,trackdone,TRUE,FALSE
0o1itZURoZ70rgXiLijzB0,12/10/2024 1:40,android,197760,Jambalaya (On The Bayou),John Fogerty,The Blue Ridge Rangers,trackdone,trackdone,TRUE,FALSE
5ct5gaiaobb1p9JmWluGFw,12/10/2024 1:44,android,214111,Happy With You,Paul McCartney,Egypt Station,trackdone,trackdone,TRUE,FALSE
 ,12/10/2024 1:45,android,93008,Green Eyes,Coldplay,A Rush of Blood to the Head,trackdone,fwdbtn,TRUE,TRUE
1SqxV8oT8lKD583CW9JiOL,12/10/2024 1:45,android,1530,One (Blake's Got A New Face),Vampire Weekend,Vampire Weekend,fwdbtn,fwdbtn,TRUE,TRUE
0GRBFjza23Im7Xb16c9AaK,12/10/2024 1:45,android,10610,No Quarter - Remaster,Led Zeppelin,Houses of the Holy,fwdbtn,fwdbtn,TRUE,TRUE
2QfiRTz5Yc8DdShCxG1tB2,12/10/2024 1:45,android,1951,Johnny B. Goode,Chuck Berry,Berry Is On Top,fwdbtn,fwdbtn,TRUE,TRUE
7529Z6b1rlGZFFPWjHPeV5,12/10/2024 1:45,android,1613,Ask Me Why - Remastered 2009,The Beatles,Please Please Me,fwdbtn,fwdbtn,TRUE,TRUE
0srf60K7I8vK7iVCv4oGZj,12/10/2024 1:45,android,2062,Esclavo De Sus Besos,David Bisbal,Sin Mirar Atras,fwdbtn,fwdbtn,TRUE,TRUE
70LcF31zb1H0PyJoS1Sx1r,12/10/2024 1:45,android,1588,Creep,Radiohead,Pablo Honey,fwdbtn,fwdbtn,TRUE,TRUE
5K5mYBbBHliLRclWbDd9VH,12/10/2024 1:48,android,177506,Demons,Imagine Dragons,Night Visions,fwdbtn,trackdone,TRUE,FALSE
3wn7gh5nm7v5CHNp7Gdp8j,12/10/2024 1:48,android,277,When We Were On Fire - The Dark Of The Morning Version,James Bay,Chaos And The Calm,trackdone,fwdbtn,TRUE,TRUE
5e55zfjZiqIytDQWEr100c,12/10/2024 1:48,android,1357,I Can't Stand It,Lou Reed,Lou Reed,fwdbtn,fwdbtn,TRUE,TRUE
6wThs5fuUjCoUkEGvIQzBq,12/10/2024 1:48,android,1315,Hope and Safety,Keuning,Prismism,fwdbtn,fwdbtn,TRUE,TRUE
1qOIwyj41749bmOhdD09IS,12/10/2024 1:54,android,343032,Headlights,Eminem,The Marshall Mathers LP2,fwdbtn,trackdone,TRUE,FALSE
3JIqogHHQIQW1uJ5Yivb88,12/10/2024 1:55,android,36103,Otherside (feat. Fences) [Ryan Lewis Remix],Macklemore and Ryan Lewis,VS. Redux,trackdone,fwdbtn,TRUE,TRUE
75ZohPJVqJOD8GUCZH94mk,12/10/2024 1:55,android,2252,siempreestoypati,Ed Maverick,Transiciones,fwdbtn,backbtn,TRUE,TRUE
3JIqogHHQIQW1uJ5Yivb88,12/10/2024 1:59,android,214008,Otherside (feat. Fences) [Ryan Lewis Remix],Macklemore and Ryan Lewis,VS. Redux,backbtn,fwdbtn,TRUE,TRUE
75ZohPJVqJOD8GUCZH94mk,12/10/2024 2:00,android,88996,siempreestoypati,Ed Maverick,Transiciones,fwdbtn,fwdbtn,TRUE,TRUE
5gFoAVTN9YlM9uJCrFZtgl,12/10/2024 2:00,android,1616,Crooked Smile (feat. TLC),J. Cole,Born Sinner,fwdbtn,fwdbtn,TRUE,TRUE
1f2V8U1BiWaC9aJWmpOARe,12/10/2024 2:03,android,163530,By the Way,Red Hot Chili Peppers,By the Way,fwdbtn,fwdbtn,TRUE,TRUE
0lwUIYJfWGB8qUEAJtYfb6,12/10/2024 2:03,android,3226,Broken Bones,KALEO,A/B,fwdbtn,fwdbtn,TRUE,TRUE
1TtKrLAquXhSgugyExXTQz,12/10/2024 2:03,android,7600,Saint-Saens: Samson et Dalila,Camille Saint-Saens,Pure - Maria Callas,fwdbtn,fwdbtn,TRUE,TRUE
1YN55N73ChOA6uJRkUhiD0,12/10/2024 2:03,android,12060,Lagrimas de Marmol,Joaquin Sabina,Lo Niego Todo,fwdbtn,fwdbtn,TRUE,TRUE
